lemma	frequency	rank	band_id
padres	9389.0	444	1
primer	9389.0	445	1
carajo	9379.0	446	1
noches	9367.0	447	1
próximo	9355.0	448	1
comenzar	9315.0	449	1
fácil	9283.0	450	1
guerra	9275.0	451	1
recuerdo	9273.0	452	1
sacar	9269.0	453	1
tierra	9247.0	454	1
foto	9244.0	455	1
final	9231.0	456	1
cerrar	9202.0	457	1
vuelta	9178.0	458	1
hermoso	9157.0	459	1
exactamente	9095.0	460	1
comida	9058.0	461	1
perfecto	9056.0	462	1
algunas	9039.0	463	1
perdón	9032.0	464	1
posible	9029.0	465	1
amiga	9017.0	466	1
blanco	9001.0	467	1
culpa	9000.0	468	1
oficina	8967.0	469	1
bastar	8885.0	470	1
presidente	8869.0	471	1
par	8854.0	472	1
hijos	8808.0	473	1
andar	8781.0	474	1
estúpido	8766.0	475	1
negocio	8761.0	476	1
decidir	8738.0	477	1
abajo	8727.0	478	1
joven	8697.0	479	1
correcto	8691.0	480	1
raro	8686.0	481	1
niña	8669.0	482	1
sra	8660.0	483	1
faltar	8649.0	484	1
basta	8630.0	485	1
mayor	8622.0	486	1
enviar	8618.0	487	1
película	8556.0	488	1
mil	8541.0	489	1
sueño	8533.0	490	1
sonar	8523.0	491	1
tampoco	8512.0	492	1
desear	8485.0	493	1
vino	8479.0	494	1
secreto	8432.0	495	1
adónde	8420.0	496	1
únicamente	8419.0	497	1
segura	8311.0	498	1
acercar	8287.0	499	1
olvidar	8277.0	500	1
mantener	8274.0	501	1
especial	8270.0	502	1
meter	8268.0	503	1
sola	8199.0	504	1
tranquilo	8197.0	505	1
única	8189.0	506	1
cliente	8175.0	507	1
acá	8163.0	508	1
seguridad	8161.0	509	1
seis	8141.0	510	1
calle	8113.0	511	1
orden	8107.0	512	1
peor	8081.0	513	1
llamada	8063.0	514	1
sexo	8006.0	515	1
largo	8004.0	516	1
soler	7955.0	517	1
darse	7933.0	518	1
millón	7926.0	519	1
probablemente	7924.0	520	1
sentido	7919.0	521	1
duro	7878.0	522	1
cama	7775.0	523	1
queda	7764.0	524	1
anoche	7697.0	525	1
noticia	7675.0	526	1
médico	7674.0	527	1
valer	7673.0	528	1
además	7669.0	529	1
doctor	7642.0	530	1
relación	7625.0	531	1
cuanto	7623.0	532	1
país	7622.0	533	1
asunto	7607.0	534	1
increíble	7603.0	535	1
confiar	7584.0	536	1
trato	7523.0	537	1
lindo	7510.0	538	1
atacar	7414.0	539	1
bonito	7379.0	540	1
paso	7338.0	541	1
hospital	7333.0	542	1
pie	7327.0	543	1
puta	7313.0	544	1
ropa	7306.0	545	1
disparar	7305.0	546	1
baño	7261.0	547	1
aceptar	7230.0	548	1
cita	7203.0	549	1
humano	7199.0	550	1
subir	7143.0	551	1
robar	7140.0	552	1
cambio	7127.0	553	1
trasero	7118.0	554	1
tonto	7113.0	555	1
diferente	7086.0	556	1
mensaje	7085.0	557	1
error	7056.0	558	1
alegrar	7055.0	559	1
desaparecer	7031.0	560	1
resto	7024.0	561	1
real	7013.0	562	1
santo	6944.0	563	1
maldición	6941.0	564	1
novia	6934.0	565	1
gusto	6873.0	566	1
dan	6867.0	567	1
información	6861.0	568	1
cual	6858.0	569	1
muchachos	6826.0	570	1
habitación	6823.0	571	1
jamás	6809.0	572	1
libre	6797.0	573	1
paz	6744.0	574	1
perdido	6729.0	575	1
presentar	6704.0	576	1
café	6683.0	577	1
puesto	6661.0	578	1
totalmente	6618.0	579	1
tío	6611.0	580	1
viaje	6591.0	581	1
capitán	6587.0	582	1
mía	6576.0	583	1
control	6565.0	584	1
ambos	6558.0	585	1
preparar	6550.0	586	1
modo	6533.0	587	1
citar	6532.0	588	1
